FEN	Rating
3q1r2/3Qppkp/p3r1p1/8/8/P7/1P3PPP/R4RK1 w - - 0 24	1398
2rk4/p3nQ2/3p4/qpp1p2P/2B1P3/3P3P/PP2KP2/R7 w - - 2 26	1032
r1bqkb1r/ppp2p1p/2np2p1/4p1B1/2B5/2P2N2/PPP2PPP/R2QR1K1 b kq - 1 8	1398
r3qrk1/1p3ppp/p3b3/8/8/2Q4P/PPP2PP1/2KR1B1R w - - 1 15	1398
8/8/4Rppk/7p/4P3/1r3KP1/5P1P/8 w - - 2 51	1154
r5rk/pp3p2/4p3/3pn1qb/8/2PBR1P1/PPQN1PK1/R7 w - - 0 23	1398
8/8/7p/2k3p1/pp2K1P1/P6P/1P6/4nB2 w - - 0 45	1398
8/1k1r2p1/p1qBQb1p/2Ppp3/3p4/1P5P/5PP1/2R3K1 b - - 0 34	1385
8/pp4RP/1kp1pB2/4P3/3n1q1K/5P1R/P7/8 w - - 3 50	1093
R7/5rpk/8/6R1/1p6/P3B2P/2r1bPK1/8 w - - 2 48	1398
r4rk1/2pb1pp1/2np1q1p/p1bBN2n/Pp2P3/3P3P/1PP2PP1/R1BQRNK1 w - - 1 15	910
r5k1/pp1b1r1p/4p1p1/2p1Bp1B/2P5/6Q1/Pq3PPP/5RK1 b - - 4 23	1398
6k1/p6p/8/1p6/1P6/P1ppqrP1/6KP/4RQ2 w - - 0 32	1398
6k1/5p2/3p3p/p2P2p1/2r1q3/4PR2/4QR1K/8 w - - 0 43	1371
r1b1r1k1/1p4pp/pQn3q1/1nBpp3/4N3/3B4/PPP2PPP/2KR3R w - - 0 17	1398
2r2rk1/2q2ppp/2Q1pnb1/2b5/2PN4/4BB2/PP3PPP/R4RK1 b - - 0 18	1398
2kr4/1pp2p2/1p3p1p/4pb2/1P1r4/P2P2P1/2Q2P1P/qNKR1B1R w - - 0 24	1398
6k1/1p3pp1/p3p2p/P3P3/b1rP4/P2K1N2/2p2PPP/2R5 b - - 1 30	1398
4r1k1/pp1bP2p/1q2pRp1/2p5/8/2N5/PP2Q1PP/6K1 b - - 0 25	1385
r1bqr1k1/pp3p2/2p2npp/3pN2n/3P4/B1PBP3/P4PPP/R2Q1RK1 w - - 0 15	1398
3r2k1/p4ppp/1pp1p3/2n1P3/8/1P2B3/P3KPPP/2R5 b - - 2 23	1075
r4rk1/p4pbp/1qp3p1/2np1b2/3P4/4PN2/P4PBP/RNQ2RK1 w - - 2 15	1344
3rb1k1/6pp/2p2r2/1pP1qp2/pP1Np3/P3P1P1/4QPK1/3R3R b - - 5 27	1398
r1br2k1/pp3p1p/2p1p1p1/3q2Pn/7P/5Q1N/PPP1BP2/2KRR3 b - - 6 23	849
3q2rk/6p1/4Q2p/p3B3/3P4/7P/6PK/8 b - - 2 33	870
1kn5/p1p2Q2/1p4p1/4p3/2P1P3/KP2qP2/1B6/8 w - - 7 41	1358
4r1rk/1R3Rp1/6p1/4p3/p2p4/8/1B3PPP/6K1 w - - 0 30	1317
5R2/6rk/2p1p1p1/3bQ2p/P2P3q/4KP2/2B5/8 b - - 9 46	1500
r4rk1/pp2bppp/1q3n2/4p1B1/3nP3/1BN2Q2/PP3PPP/2RR2K1 w - - 12 15	1398
3r1b1k/pb3pp1/1p5N/2nq4/3p2N1/P4PB1/1P1Q2PP/4R1K1 b - - 13 26	1198
r3kb1r/pp4pp/2p2p2/4pq1b/R4P2/1P4Q1/1PPP2PP/1NB2RK1 b kq - 0 14	1398
3rr1k1/4qppp/p3b3/1p1B4/2P2b2/1P1Q4/P4PP1/B2R1R1K w - - 1 24	1073
2r2rk1/p5pp/2n1bp2/5n2/1q6/4BNQ1/P3BPPP/2R2RK1 w - - 8 20	1398
5R2/2p2pp1/3p1bk1/4p2p/4P3/2r3PB/5P1P/6K1 b - - 3 29	1210
8/4pk1p/p1q5/1p3p2/1P1QnP2/P7/7P/2B2R1K w - - 4 32	1169
1r5k/1p5p/p5p1/P1p5/3bq3/6QP/1PP3PK/R2R4 w - - 1 30	985
5k2/p1p2p1p/2pp3P/3r4/6P1/1P1n1P1R/P1K5/4R3 w - - 7 31	1398
2r3k1/5ppp/p3p3/1p2P1N1/5P2/Pq1p4/1P1Q3P/5R1K w - - 0 28	1398
r2q1rk1/pp1n1ppp/2bbp3/8/2BP4/2P2N2/P4PPP/R1BQR1K1 w - - 3 13	1398
4rk1r/ppQ2ppp/8/8/4N3/3P4/q1nN1PPP/1R3K1R w - - 0 17	849
1r4k1/4qpp1/2n1p1p1/p2pP1N1/3P4/2P1Q2R/Pr4PP/5RK1 b - - 4 26	870
3b4/p3Nk2/2Q2p2/1pP1p3/1P5P/Pq1r4/7P/R6K w - - 0 33	1398
rnbqkb1r/pp2pp1p/3p1np1/2p5/4P3/2P2N1P/PP1PBPP1/RNBQK2R b KQkq - 2 5	1398
2k4r/ppp4q/3p1Q2/1P1Pp3/P5p1/6P1/6PP/4R1K1 w - - 7 31	1398
8/8/8/P3b3/1k1pPp1p/N1pK1P1P/5P2/8 w - - 3 50	1398
7k/2r5/1p4p1/3R4/3P4/3r4/7P/1R5K w - - 0 35	1398
2kr1b2/ppp1n1p1/5pp1/4p1P1/2P4r/PP1P4/1B1K1PB1/1R2R3 b - - 0 23	1398
4r1k1/1p3pp1/1P5p/7q/5P2/1Q3pPP/5P2/3R2K1 w - - 2 32	1398
4r2k/1Qp1r1p1/1p2P2p/2q5/2p5/P6P/1P4P1/4RR1K b - - 2 27	1371
r3k2r/ppq2ppp/2n1p3/1B1pNb2/3P4/P7/1PP2PPP/R2QK2R w KQkq - 2 13	1398
r2q1r2/1b3p1k/p2pp1pp/1p2P3/5P2/3BQ2P/PbP1N1P1/3RR1K1 b - - 0 20	1398
8/1p5p/p7/2pPkPp1/2Ppp1P1/1P5P/1P2K3/8 b - - 4 40	1398
r4rk1/3b1p2/p2p2pp/np1Pq1n1/2p1PN2/2P2R1P/PPB2QPN/5RK1 w - - 6 28	1378
8/8/5p1p/p1p2B2/2Pb1kP1/1P5P/4K3/8 w - - 20 47	1398
4r3/1k6/8/2P5/5pPp/5N1P/3pr1P1/3R1K2 b - - 1 48	1141
2R5/5ppk/4p2p/5qr1/1P1P4/PQ2PPnP/1B3KP1/8 w - - 2 32	1249
r2qr1k1/ppp2ppp/3b1n2/5b2/2PPp3/1N6/PP3PPP/R1BQRBK1 w - - 1 14	1398
6Qb/p1knp2P/2ppp3/q7/4P1P1/2r5/PPP5/R3K2R w KQ - 7 23	1195
2r2rk1/p1q1ppbp/6p1/3P4/2nNP3/1p1RBQ1P/1P3PP1/1R4K1 w - - 1 23	1398
r5k1/p2R1ppp/bp2pb2/8/3NpB2/4P2P/PPP2PP1/6K1 w - - 1 21	1398
r1rb2k1/1p2npp1/1q2p2p/pB1p4/3P4/P1N1P3/1PRQ1PPP/4R1K1 w - - 10 19	1398
r1b2rk1/ppp2p2/3p3p/3Pp1p1/2P1PPqN/P1QB4/1P3P1P/R4R1K b - - 0 18	1283
r2q1rk1/pQ6/4p1pp/2p2p2/2N5/2bP4/P4PPP/2R2RK1 b - - 1 21	1297
2r5/p4kp1/4R2p/2pK4/3p4/P4P2/2P3PP/8 w - - 6 31	1398
